city,ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance Validity,Seats,Engine Displacement
Kolkata,Petrol,Sedan,70000,Automatic,3,Toyota,Toyota Camry,2014,Hybrid,975000,2014,Third Party,5,2494
Kolkata,Petrol,Hatchback,23981,Manual,1,Datsun,Datsun RediGO,2017,T Option,266000,2017,Comprehensive,5,799
Kolkata,Petrol,SUV,7100,Automatic,1,Renault,Renault Kiger,2021,RXT AMT,595000,2021,Comprehensive,5,999
Kolkata,Petrol,Hatchback,71574,Manual,2,Hyundai,Hyundai i20,2011,1.2 Sportz,223000,2011,Third Party,5,1197
Kolkata,Diesel,SUV,50000,Automatic,2,Audi,Audi Q3,2014,35 TDI Quattro Premium,1200000,2014,Third Party,5,1968
Kolkata,Petrol,Hatchback,35629,Automatic,1,Maruti,Maruti Wagon R,2018,VXI AMT 1.2,425000,2018,Comprehensive,5,1197
Kolkata,Petrol,Hatchback,11476,Automatic,2,Hyundai,Hyundai Santro,2020,Sportz AMT,596000,2020,Comprehensive,5,1086
Kolkata,Petrol,Hatchback,31000,Manual,1,Renault,Renault KWID,2018,RXT Optional,250000,2018,Third Party,5,799
Kolkata,Petrol,Sedan,41005,Manual,2,Maruti,Maruti Swift Dzire,2011,VXi,221000,2011,Comprehensive,5,1298
Kolkata,Petrol,Hatchback,60055,Manual,1,Maruti,Maruti Wagon R,2010,LX BS IV,208000,2010,Third Party,5,998
Kolkata,Petrol,Hatchback,65005,Manual,1,Maruti,Maruti Swift,2013,VXI,311000,2013,Comprehensive,5,1197
Kolkata,Petrol,Hatchback,2657,Manual,1,Renault,Renault KWID,2022,RXT,463999,2022,Third Party,5,799
Kolkata,Petrol,Hatchback,16000,Manual,1,Hyundai,Hyundai i10,2011,Magna 1.1L,204999,2011,Comprehensive,5,1086
Kolkata,Diesel,SUV,7426,Automatic,1,Tata,Tata Harrier,2023,XZA Plus AT BSVI,2175000,2023,Comprehensive,5,1956
Kolkata,Petrol,Hatchback,27046,Automatic,1,Maruti,Maruti Baleno,2018,1.2 CVT Delta,643000,2018,Comprehensive,5,1197
Kolkata,Diesel,SUV,30100,Automatic,1,Toyota,Toyota Fortuner,2021,2.8 4WD AT,3750000,2021,Third Party,7,2755
Kolkata,Petrol,Hatchback,9000,Manual,1,Maruti,Maruti Wagon R,2022,LXI BSVI,545000,2022,Comprehensive,5,998
Kolkata,Petrol,Hatchback,17000,Manual,1,Hyundai,Hyundai i20,2022,Sportz BSVI,750000,2022,Third Party,5,1197
Kolkata,Diesel,SUV,49200,Automatic,1,Jeep,Jeep Compass,2021,2.0 Longitude Option AT,1650000,2021,Comprehensive,5,1956
Kolkata,Petrol,Hatchback,35000,Manual,2,Hyundai,Hyundai i10,2009,Era,225000,9,Comprehensive,5,1086
Kolkata,Diesel,SUV,30000,Automatic,2,Land Rover,Land Rover Range Rover Evoque,2020,2.0 R-Dynamic SE diesel 2020-2021,5990000,2020,Third Party,5,1999
Kolkata,Petrol,Hatchback,54044,Manual,1,Maruti,Maruti Alto K10,2017,VXI Optional,315000,2017,Third Party,5,998
Kolkata,Petrol,SUV,6500,Manual,1,Tata,Tata Nexon,2021,XM BSVI,799000,2021,Third Party,5,1199
Kolkata,Petrol,Sedan,29159,Manual,1,Maruti,Maruti Ciaz,2017,VXi Option,526000,2017,Zero Dep,5,1373
Kolkata,Diesel,SUV,30000,Automatic,2,Land Rover,Land Rover Range Rover Evoque,2020,2.0 R-Dynamic SE diesel 2020-2021,5990000,2020,Third Party,5,1999
Kolkata,Petrol,Sedan,31968,Automatic,1,Honda,Honda City,2016,i VTEC CVT VX,675000,2016,Comprehensive,5,1497
Kolkata,Petrol,Hatchback,44150,Manual,2,Hyundai,Hyundai Grand i10 Nios,2019,Asta,612000,2019,Third Party,5,1197
Kolkata,Petrol,Hatchback,60000,Manual,1,Hyundai,Hyundai i20,2010,1.2 Magna Opt,189000,2010,Third Party,5,1197
Kolkata,Petrol,SUV,25009,Automatic,1,Hyundai,Hyundai Creta,2018,1.6 SX Automatic,990000,2018,Comprehensive,5,1591
Kolkata,Petrol,Hatchback,46469,Manual,1,Maruti,Maruti Swift,2020,VXI,534000,2020,Zero Dep,5,1197
Kolkata,Petrol,SUV,45000,Manual,1,Hyundai,Hyundai Creta,2018,1.6 VTVT SX Plus,800000,2018,Third Party,5,1591
Kolkata,Petrol,Sedan,31577,Manual,1,Hyundai,Hyundai Verna,2020,SX Opt,983000,2020,Third Party,5,1497
Kolkata,Petrol,Hatchback,56005,Automatic,1,Maruti,Maruti Celerio,2014,VXI AT,281000,2014,Comprehensive,5,998
Kolkata,Petrol,Hatchback,10005,Manual,1,Maruti,Maruti Wagon R,2021,VXI,535000,2021,Comprehensive,5,998
Kolkata,Petrol,Hatchback,41163,Manual,1,Hyundai,Hyundai Grand i10,2017,1.2 Kappa Asta,475000,2017,Comprehensive,5,1197
Kolkata,Diesel,Sedan,17839,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2020,Exclusive E 220d,5300000,2020,Comprehensive,5,1950
Kolkata,Petrol,Sedan,3800,Manual,1,Toyota,Toyota Yaris,2019,V,695000,2019,Comprehensive,5,1496
Kolkata,Petrol,Hatchback,34124,Manual,1,Maruti,Maruti Wagon R,2018,VXI,395000,2018,Comprehensive,5,998
Kolkata,Diesel,Hatchback,50000,Manual,2,Hyundai,Hyundai i20,2012,1.4 CRDi Magna,200000,2012,Third Party,5,1396
Kolkata,Petrol,Sedan,48168,Manual,1,Honda,Honda City,2018,i-VTEC VX,750000,2018,Comprehensive,5,1497
Kolkata,Diesel,MUV,20000,Manual,3,Mahindra,Mahindra Marazzo,2019,M2 8Str BSIV,975000,2019,Third Party,8,1497
Kolkata,Petrol,Sedan,56357,Manual,1,Maruti,Maruti Swift Dzire,2018,LXI,480000,2018,Third Party,5,1197
Kolkata,Petrol,Sedan,60000,Manual,1,Maruti,Maruti Swift Dzire,2010,VXi,245000,2010,Third Party,5,1298
Kolkata,Petrol,Hatchback,10585,Manual,1,Maruti,Maruti Baleno,2022,Delta,719000,2022,Comprehensive,5,1197
Kolkata,Petrol,Sedan,50000,Automatic,2,Honda,Honda Civic,2012,1.8 V AT Elegance,375000,2012,Third Party,5,1799
Kolkata,Petrol,Sedan,60000,Manual,1,Maruti,Maruti Swift Dzire,2010,VXi,245000,2010,Third Party,5,1298
Kolkata,Petrol,SUV,17642,Manual,1,Hyundai,Hyundai Creta,2020,S BSVI,1214000,2020,Zero Dep,5,1497
Kolkata,Diesel,Hatchback,20000,Manual,1,Tata,Tata Tiago,2018,1.05 Revotorq XZ Plus DualTone,438999,2018,Third Party,5,1047
Kolkata,Petrol,Hatchback,9157,Manual,1,Hyundai,Hyundai Grand i10 Nios,2021,Asta,753000,2021,Third Party,5,1197
Kolkata,Petrol,Sedan,65979,Manual,2,Honda,Honda Amaze,2016,S i-Vtech,362000,2016,Comprehensive,5,1198
Kolkata,Diesel,Sedan,65000,Manual,1,Skoda,Skoda Rapid,2014,1.6 TDI Active Plus,300000,2014,Third Party,5,1598
Kolkata,Petrol,Hatchback,7940,Manual,2,Datsun,Datsun RediGO,2020,1.0 T Option,389000,2020,Comprehensive,5,999
Kolkata,Petrol,Hatchback,100000,Manual,4,Hyundai,Hyundai Santro Xing,2010,GL,114999,2010,Third Party,5,1086
Kolkata,Diesel,Sedan,40000,Automatic,1,BMW,BMW 3 Series,2011,320d Highline,865000,2011,Comprehensive,5,1995
Kolkata,Petrol,Sedan,60000,Manual,2,Fiat,Fiat Linea,2011,Dynamic,185000,2011,Third Party,5,1368
Kolkata,Diesel,Sedan,19859,Automatic,1,BMW,BMW 5 Series,2019,520d Luxury Line,3950000,2019,Comprehensive,5,1995
Kolkata,Petrol,SUV,7405,Automatic,1,Jeep,Jeep Wrangler,2023,Rubicon BSVI,6250000,2023,Comprehensive,5,1998
Kolkata,Petrol,SUV,52922,Manual,1,Honda,Honda BR-V,2016,i-VTEC V MT,620000,2016,Comprehensive,7,1497
Kolkata,Petrol,SUV,60000,Manual,1,Ford,Ford Ecosport,2015,1.5 Ti VCT MT Trend BSIV,350000,2015,Third Party,5,1499
